Candidate Age,Candidate Gender,Highest Qualification,Job Title,CTC (Yearly),Employment Type,Marriage Status,Disability Status,Course Name,Course Sector,Candidate City,Present Village,Present District,Present State,Present Country,Job Designation,Job Location
24,Male,Higher Secondary Pass,DEO,1500,Salaried,Unmarried,No,Certificate Course for Data Entry Operator - 2,Others,Jhajjar,Yaqubpur,Jhajjar,HARYANA,India,DEO,Jhajjar
30,Male,Higher Secondary Pass,Associate,14397,Salaried,Unmarried,No,Certificate Course for Assistant Beauty Therapist (Alankrit),Beauty & Wellness,Jhajjar,Pelpa,Jhajjar,HARYANA,India,Associate,Jhajjar
23,Female,Higher Secondary Pass,Assistant Beauty Therapist,7000,Wage Employment- Full Time,Unmarried,No,Certificate Course for Assistant Beauty Therapist (Alankrit),Beauty & Wellness,Mumbai,Bhandup,Mumbai,MAHARASHTRA,India,Assistant Beauty Therapist,ghatkopar East
21,Female,10th Pass,Assistant Beauty Therapist Hair skin and makeup,7000,Wage Employment- Full Time,Unmarried,No,Certificate Course for Assistant Beauty Therapist (Alankrit),Beauty & Wellness,Mumbai,BHANDUP,Mumbai,MAHARASHTRA,India,Assistant Beauty Therapist,Ghatkopar East
22,Female,Higher Secondary Pass,Assistant beauty therapist ,6500,Wage Employment- Full Time,Unmarried,No,Certificate Course for Data Entry Operator - 2,Others,Mumbai,ghatkopar,Mumbai,MAHARASHTRA,India,Assistant beauty therapist ,Ghatkopar west
24,Female,Higher Secondary Pass,Associate,36639,Salaried,Unmarried,No,Certificate Course for Assistant Beauty Therapist (Alankrit),Beauty & Wellness,Jhajjar,Sondhi,Jhajjar,HARYANA,India,Associate,Jhajjar
20,Female,Higher Secondary Pass,Assistant beauty therapist ,7000,Wage Employment- Full Time,Unmarried,No,Certificate Course for Assistant Beauty Therapist (Alankrit),Beauty & Wellness,Mumbai,Ghatkopar,Mumbai,MAHARASHTRA,India,Assistant beauty therapist ,Diva
22,Female,Higher Secondary Pass,Assistant beauty therapist ,6000,Wage Employment- Full Time,Unmarried,No,Certificate Course for Assistant Beauty Therapist (Alankrit),Beauty & Wellness,Mumbai,GHATKOPAR,Mumbai,MAHARASHTRA,India,Assistant beauty therapist ,Kurla
19,Female,Higher Secondary Pass,Associate,13646,Salaried,Unmarried,No,Certificate Course for Assistant Beauty Therapist (Alankrit),Beauty & Wellness,Jhajjar,Ismailpur,Jhajjar,HARYANA,India,Associate,Jhajjar
28,Female,Graduation,BEAUTY,7000,Salaried,Unmarried,No,Certificate Course for Data Entry Operator - 2,Others,North West Delhi,jahangir,North West Delhi,DELHI,India,BEAUTICIAN,vaishali 
33,Female,Graduation,Floor Assistant,11.5,Salaried,Married,No,Certificate Course for Assistant Beauty Therapist (Alankrit),Beauty & Wellness,Pune,Wagholi,Pune,MAHARASHTRA,India,Floor Assistant,wagholi
34,Female,Graduation,Floor Assistant,27752,Salaried,Married,No,Certificate Course for Assistant Beauty Therapist (Alankrit),Beauty & Wellness,Pune,Wagholi,Pune,MAHARASHTRA,India,Floor Assistant,wagholi
29,Female,Higher Secondary Pass,HR Executive,14180,Salaried,Married,No,Certificate Course for Assistant Beauty Therapist (Alankrit),Beauty & Wellness,Thane,Ulhasnagar,Thane,MAHARASHTRA,India,HR Executive,Mumbai
20,Female,Higher Secondary Pass,Back Office Executive,10000,Wage Employment- Full Time,Unmarried,No,Certificate Course for Data Entry Operator - 2,Others,Pune,Ramwadi,Pune,MAHARASHTRA,India,Back Office Excutive,Pune
34,Male,Higher Secondary Pass,Back Office Executive,10000,Wage Employment- Full Time,Unmarried,No,Certificate Course for Assistant Beauty Therapist (Alankrit),Beauty & Wellness,Pune,Budhawar Peth ,Solapur,MAHARASHTRA,India,Back Office Executive,Pune
24,Female,Higher Secondary Pass,Beauty,8000,Wage Employment- Full Time,Unmarried,No,Certificate Course for Assistant Beauty Therapist (Alankrit),Beauty & Wellness,North West Delhi,Begumpur,North West Delhi,DELHI,India,Beautician,Delhi
22,Female,Higher Secondary Pass,Retail Trainer Associate,12700,Salaried,Unmarried,No,Certificate Course For Retail Sales Associate 1,Retail,Thane,Ulhasnagar,Thane,MAHARASHTRA,India,Retail Trainee Associate,Mumbai
20,Female,Higher Secondary Pass,Assistant Beauty Therapist,8500,Salaried,Unmarried,No,Certificate Course for Data Entry Operator - 2,Others,Mumbai,Sakinaka,Mumbai,MAHARASHTRA,India,Assistant Beauty Therapist,Navi Mumbai
24,Female,Higher Secondary Pass,Beauty,8500,Wage Employment- Full Time,Unmarried,No,Certificate Course on Digital Marketing - 2- I,Media & Entertainment Skill Council,North West Delhi,begumpur,North West Delhi,DELHI,India,Beautician,Delhi
26,Female,10th Pass,Associate,32576,Salaried,Unmarried,No,Certificate Course for Assistant Beauty Therapist (Alankrit),Beauty & Wellness,Jhajjar,Ladpur,Jhajjar,HARYANA,India,Associate,Jhajjar
27,Female,Higher Secondary Pass,CSA,17000,Salaried,Married,No,Certificate Course For Retail Sales Associate 1,Retail,East Delhi,Kondli ,North West Delhi,DELHI,India,CSA,NOIDA
33,Female,Higher Secondary Pass,Telecallers,11497,Salaried,Married,No,Certificate Course For Retail Sales Associate 1,Retail,Pune,Wagholi ,Pune,MAHARASHTRA,India,Telecallers,Pune
23,Female,Higher Secondary Pass,Beauty Helper,4000,Salaried,Unmarried,No,Certificate Course for Assistant Beauty Therapist - Saundarya- I,Beauty & Wellness,East Delhi,Kondali,North West Delhi,DELHI,India,Beauty Helper,Ghaziabad
36,Female,Graduation,Assistant,12960,Salaried,Married,No,Certificate Course for Assistant Beauty Therapist - Saundarya- I,Beauty & Wellness,Pune,Wagholi,Pune,MAHARASHTRA,India,Assistant,"wagholi ,pune"
20,Female,Higher Secondary Pass,Assistant Beauty Therapist,5500,Salaried,Unmarried,No,Certificate Course for Assistant Beauty Therapist (Alankrit),Beauty & Wellness,Mumbai,Sakinaka,Mumbai,MAHARASHTRA,India,Beautician,Mumbai
30,Female,Higher Secondary Pass,ASSISTANT BEAUTICIAN,6000,Wage Employment- Full Time,Married,No,Certificate Course for Data Entry Operator - 2,Others,Kolkata,Kolkata,Nadia,WEST BENGAL,India,ASSISTANT BEAUTICIAN,BARASAT
19,Female,10th Pass,ASSISTANT BEAUTICIAN,6000,Wage Employment- Full Time,Unmarried,No,Certificate Course on CRM Domestic Voice - 1-1,IT-ITeS,Kolkata,Kolkata ,North 24 Parganas,WEST BENGAL,India,ASSISTANT BEAUTICIAN,BARASAT
30,Male,Higher Secondary Pass,Territory Sales incharge-Grade Mo-1,34699,Wage Employment- Full Time,Unmarried,No,Certificate Course for Data Entry Operator - 2,Others,Hamirpur,Mundkhar ,Hamirpur(HP),HIMACHAL PRADESH,India,Territory Sales incharge-Grade Mo-1,Hamirpur (Himanchal Pradesh)
39,Female,10th Pass,ASSISTANT BEAUTICIAN,6000,Wage Employment- Full Time,Married,No,Certificate Course for Assistant Beauty Therapist - Saundarya- I,Beauty & Wellness,Kolkata,"Shalbhagan, Noapara , Barasath",North 24 Parganas,WEST BENGAL,India,ASSISTANT BEAUTICIAN,HOWRAH
24,Female,10th Pass,ASSISTANT BEAUTICIAN,6000,Wage Employment- Full Time,Unmarried,No,Certificate Course for Data Entry Operator - 2,Others,Kolkata,Kolkata,Kolkata,WEST BENGAL,India,ASSISTANT BEAUTICIAN,UTTARPAR
21,Female,Higher Secondary Pass,Retail Trainee Associate ,12700,Wage Employment- Full Time,Unmarried,No,Certificate Course for Assistant Beauty Therapist - Saundarya- I,Beauty & Wellness,Thane,Ulhasnagar,Thane,MAHARASHTRA,India,Retail Trainee Associate ,Mumbai 
27,Female,10th Pass,Floor Assistant,11500,Salaried,Married,No,Certificate Course for Assistant Beauty Therapist (Alankrit),Beauty & Wellness,Pune,Wagholi,Pune,MAHARASHTRA,India,Floor Assistant,Wagholi
24,Female,6 to 9,Assistant Beauty Therapist,3200,Self Employed,Unmarried,No,Certificate Course for Assistant Beauty Therapist (Alankrit),Beauty & Wellness,Ujjain,Jhirmira ,Ujjain,MADHYA PRADESH,India,Assistant Beauty Therapist,Jhirmira
26,Female,Higher Secondary Pass,Assistant Beauty Therapist,3200,Self Employed,Unmarried,No,Certificate Course for Data Entry Operator - 2,Others,Ujjain,Nagda ,Ujjain,MADHYA PRADESH,India,Assistant Beauty Therapist,Jhirmira
25,Female,Higher Secondary Pass,Assistant Beauty Therapist,5000,Wage Employment- Full Time,Married,No,Certificate Course for Assistant Beauty Therapist (Alankrit),Beauty & Wellness,Pune,Yerwada ,Pune,MAHARASHTRA,India,Beautician,Pune
2,Male,10th Pass,Marketing Executive,13000,Wage Employment- Full Time,Unmarried,No,Certificate Course for Assistant Beauty Therapist (Alankrit),Beauty & Wellness,Bangalore,New Guddadahalli ,Bangalore,KARNATAKA,India,Marketing Executive,Bangalore
22,Male,Higher Secondary Pass,Sales Executive,10000,Wage Employment- Full Time,Unmarried,No,Certificate Course for Assistant Beauty Therapist (Alankrit),Beauty & Wellness,Pune,Pune,Pune,MAHARASHTRA,India,Sales Executive,Pune
